Table 1: List of Projects Studied in Transition Cycle #1 / Phase I
Project ID,Project Name / POI,State[2],Status,Transmission Owner[3],Maxiumum Facility Output (MFO in MW),MW Energy (MWE),MW Capacity (MWC),Project Type,Resource Type
AE1-070,Elwood 345 kV,Illinois,Active,Commonwealth Edison Company,1610.0,0.0,135.0,Generation Interconnection,Natural Gas
AE1-114,Maryland-Lancaster 138 kV,Illinois,Active,Commonwealth Edison Company,150.0,150.0,34.0,Generation Interconnection,Wind
AE1-144,Goddard-Plumville 138 kV,Kentucky,Active,East Kentucky Power Cooperative Inc.,100.0,100.0,66.8,Generation Interconnection,Solar
AE1-148,Kerr Dam-Ridge Rd 115 kV,Virginia,Active,Virginia Electric and Power Company,90.0,90.0,54.0,Generation Interconnection,Solar
AE1-172,Loretto-Wilton Center,Illinois,Active,Commonwealth Edison Company,255.0,255.0,44.88,Generation Interconnection,Wind
AE2-038,Goddard-Plumsville 138 kV II,Kentucky,Active,East Kentucky Power Cooperative Inc.,180.0,80.0,53.5,Generation Interconnection,Solar
AE2-053,Kerr Dam-Ridge Road 115 kV,Virginia,Active,Virginia Electric and Power Company,110.0,20.0,20.0,Generation Interconnection,Storage
AE2-107,Haumesser Road 138 kV,Illinois,Active,Commonwealth Edison Company,90.0,90.0,54.0,Generation Interconnection,Solar
AE2-123,Birdneck-Landstown 230 kV,Virginia,Active,Virginia Electric and Power Company,800.1,800.1,163.3,Generation Interconnection,Offshore Wind
AE2-124,Landstown 230 kV,Virginia,Active,Virginia Electric and Power Company,800.1,800.1,148.5,Generation Interconnection,Offshore Wind
AE2-130,Rockport 765 kV,Indiana,Active,American Electric Power,800.0,800.0,480.0,Generation Interconnection,Solar; Storage
AE2-138,Avon-North Clark 345 kV,Kentucky,Active,East Kentucky Power Cooperative Inc.,260.0,260.0,189.8,Generation Interconnection,Solar
AE2-147,Swamp 230 kV,North Carolina,Active,Virginia Electric and Power Company,150.0,150.0,90.0,Generation Interconnection,Solar
AE2-156,Yadkin 115 kV,Virginia,Active,Virginia Electric and Power Company,100.0,100.0,100.0,Generation Interconnection,Storage
AE2-185,Gladys DP-Stonemill Switching Station 69 kV,Virginia,Active,Virginia Electric and Power Company,60.0,60.0,36.0,Generation Interconnection,Solar
AE2-187,Shockoe DP-Chatham 69 kV,Virginia,Active,Virginia Electric and Power Company,60.0,60.0,36.0,Generation Interconnection,Solar
AE2-210,Avon-North Clark 345 kV,Kentucky,Active,East Kentucky Power Cooperative Inc.,90.0,90.0,65.4,Generation Interconnection,Solar
AE2-223,McLean 345 kV,Illinois,Active,Commonwealth Edison Company,150.0,150.0,19.5,Generation Interconnection,Wind
AE2-250,Purdy Sw.-Reams 115 kV,Virginia,Active,Virginia Electric and Power Company,82.5,82.5,54.0,Generation Interconnection,Solar
AE2-261,Kincaid-Pana 345 kV,Illinois,Active,Commonwealth Edison Company,299.0,299.0,179.4,Generation Interconnection,Solar
AE2-270,Hopewell-Surry 230 kV,Virginia,Active,Virginia Electric and Power Company,150.0,150.0,150.0,Generation Interconnection,Solar; Storage
AE2-275,JK Smith-Fawkes 138 kV,Kentucky,Active,East Kentucky Power Cooperative Inc.,90.0,90.0,65.4,Generation Interconnection,Solar
AE2-283,Gladys-Stone Mill 69 kV,Virginia,Active,Virginia Electric and Power Company,60.4,60.4,39.6,Generation Interconnection,Solar
AE2-291,Grit DP-Perth 115 kV,Virginia,Active,Virginia Electric and Power Company,102.0,102.0,61.2,Generation Interconnection,Solar
AE2-292,Grit DP-Perth 115 kV,Virginia,Active,Virginia Electric and Power Company,127.0,127.0,76.2,Generation Interconnection,Solar
AE2-308,Three Forks-Dale 138 kV,Kentucky,Active,East Kentucky Power Cooperative Inc.,150.0,150.0,110.0,Generation Interconnection,Solar; Storage
